""	"Rank"	"Title"	"Description"	"Runtime"	"Genre"	"Rating"	"Metascore"	"Votes"	"Gross_Earning_in_Mil"	"Director"	"Actor"
"90"	90	"Hunt for the Wilderpeople"	"   A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush."	101	"Adventure"	7.9	81	80670	5.2	"Taika Waititi"	"Sam Neill"
"91"	91	"Office Christmas Party"	"   When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand..."	105	"Comedy"	5.8	42	51926	54.73	"Josh Gordon"	"Jason Bateman"
"92"	92	"Teenage Mutant Ninja Turtles: Out of the Shadows"	"   After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang."	112	"Action"	6	40	73942	82.05	"Dave Green"	"Megan Fox"
"93"	93	"Patriots Day"	"   The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible."	133	"Action"	7.4	69	70419	31.89	"Peter Berg"	"Mark Wahlberg"
"94"	94	"Bad Neighbours 2"	"   When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down."	92	"Comedy"	5.7	58	96667	55.29	"Nicholas Stoller"	"Seth Rogen"
"95"	95	"Fallen"	"   A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years."	91	"Adventure"	5.5	47	10588	NA	"Scott Hicks"	"Addison Timlin"
"96"	96	"Morgan"	"   A corporate risk-management consultant must decide whether or not to terminate an artificially created humanoid being."	92	"Action"	5.8	48	33522	3.91	"Luke Scott"	"Kate Mara"
"97"	97	"Fences"	"   A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life."	139	"Drama"	7.2	79	79901	57.64	"Denzel Washington"	"Denzel Washington"
"98"	98	"The Founder"	"   The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness."	115	"Biography"	7.2	66	88112	12.79	"John Lee Hancock"	"Michael Keaton"
"99"	99	"How to Be Single"	"   A group of young adults navigate love and relationships in New York City."	110	"Comedy"	6.1	51	70802	46.81	"Christian Ditter"	"Dakota Johnson"
"100"	100	"Blair Witch"	"   After discovering a video showing what he believes to be his vanished sister Heather, James and a group of friends head to the forest believed to be inhabited by the Blair Witch."	89	"Horror"	5	47	34876	20.78	"Adam Wingard"	"James Allen McCune"
